2024-12-05 21:08:43,053 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '138.113.109.44', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:43,735 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '138.113.109.44', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:49,329 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '172.67.6.3', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:56,759 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '35.81.239.62', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:08:57,017 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '35.81.239.62', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:09:01,093 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '138.113.109.44', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:09:01,347 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '138.113.109.44', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:09:08,852 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '138.113.109.44', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:09:09,101 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '138.113.109.44', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:09:09,149 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '138.113.109.44', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:09:11,967 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '138.113.109.44', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:09:17,052 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '35.81.239.62', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:09:17,311 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '35.81.239.62', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:09:18,052 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '35.81.239.62', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:09:34,256 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '162.247.243.29', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:09:34,509 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '162.247.243.29', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:09:36,345 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '142.251.42.35', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:09:42,347 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '34.120.195.249', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
